"region","date","N","Mean","SD","Min","Max"
"Europe & Central Asia",2003,48,27077.3134154256,20440.7087168793,1663.22323213716,104743.000088458
"Europe & Central Asia",2004,48,28046.6474196945,20845.4227719055,1799.81684056548,107634.837198018
"Europe & Central Asia",2005,48,28859.9352212871,20968.2219998729,1884.94584164719,108632.360015806
"Europe & Central Asia",2006,48,30063.5821187513,21454.5514998634,1980.23411215425,113346.03578151
"Europe & Central Asia",2007,48,31244.8590479553,22143.422065817,2095.79782998486,120647.822958963
"Europe & Central Asia",2008,49,31562.5508681965,21648.55222262,2219.30505470601,118154.667184464
"Europe & Central Asia",2009,49,29949.3360171654,20519.4796667018,2261.40891793663,112230.081410148
"Europe & Central Asia",2010,49,30703.6393622871,20731.4844981563,2359.99629068183,114343.988089326
"Europe & Central Asia",2011,49,31494.9520478699,20571.1026582599,2481.55232237312,112998.390476598
"Europe & Central Asia",2012,49,31590.9081724634,20349.3078612038,2610.14594826628,112137.135491328
"Europe & Central Asia",2013,49,31793.7773809573,20287.3463561421,2741.20299945432,113050.663254336
"Europe & Central Asia",2014,49,32161.442379786,20427.3936921695,2858.21281715942,113313.578897944
"Europe & Central Asia",2015,49,32577.8207469881,20946.4625508274,2959.97072561653,113182.728563365
"Europe & Central Asia",2016,49,33041.5728251142,21311.8527492988,3091.22422270449,116283.699681286
"Europe & Central Asia",2017,49,33935.2751124667,21485.601191937,3236.43934350302,114985.842235989
"Europe & Central Asia",2018,49,34652.7928709812,21669.5188393381,3405.11357767917,114164.468558094
"Europe & Central Asia",2019,49,35245.6169983315,21781.0265671945,3575.28195629146,114542.496933956
"Europe & Central Asia",2020,49,33422.6743142458,21422.3641865174,3651.94266028347,111751.314751362
"Latin America & Caribbean",1990,22,10174.3177476961,3134.78972097701,3409.79425137619,15218.3084360329
"Latin America & Caribbean",1991,22,10244.827431909,3243.14883613349,3325.1094433087,15522.9199234319
"Latin America & Caribbean",1992,22,10278.8065761667,3443.73151330003,3262.64708008224,15757.1475544878
"Latin America & Caribbean",1993,22,10527.5563715432,3520.20454955965,3107.45591424119,15930.4839148547
"Latin America & Caribbean",1994,22,10898.9128433459,3658.8024062081,2684.87151399539,16402.258161703
"Latin America & Caribbean",1995,22,10826.1311205452,3527.44274513874,2895.97962847482,15087.589629292
"Latin America & Caribbean",1996,22,11063.7641282571,3686.80300238989,2960.28740865941,15825.0937520662
"Latin America & Caribbean",1997,22,11424.8200258798,3904.52379404503,2984.81941551357,16618.9132540326
"Latin America & Caribbean",1998,22,11527.6493290457,4126.48403961779,2994.80686449323,17184.9431894038
"Latin America & Caribbean",1999,22,11462.3784302983,4187.13194444919,3020.49959299664,17370.8129070839
"Latin America & Caribbean",2000,22,11761.0606122804,4305.80281174125,2991.64616245722,17942.780345094
"Latin America & Caribbean",2001,22,11695.8353337045,4281.49391594323,2928.32559156621,17596.7867366015
"Latin America & Caribbean",2002,22,11761.9428847659,4327.07423032374,2907.94256200546,18018.2961416015
"Latin America & Caribbean",2003,22,11829.3425565736,4626.52962110027,2957.70169157461,20504.7796948389
"Latin America & Caribbean",2004,22,12260.1249777259,4948.51402896175,2870.11520779791,22010.9413246175
"Latin America & Caribbean",2005,22,12529.4628020196,5195.07176658248,2909.45734664433,23242.6396285571
"Latin America & Caribbean",2006,22,12974.3221339085,5689.01945649526,2911.58577058975,26162.6444225462
"Latin America & Caribbean",2007,22,13450.1349827548,5983.54629186479,2998.61125507317,27249.2988075772
"Latin America & Caribbean",2008,22,13800.9937408568,6239.17654838501,3028.6710012153,28012.8731484765
"Latin America & Caribbean",2009,22,13439.323843273,6019.08918372198,3155.85667551796,26622.2938239092
"Latin America & Caribbean",2010,22,14106.7612564359,6319.51837168294,2943.54950304693,27329.4246816572
"Latin America & Caribbean",2011,22,14571.5119349273,6548.6423231059,3058.98691680167,27062.3840032009
"Latin America & Caribbean",2012,22,14878.2875096685,6970.77068903019,3027.45025351263,28642.3354215599
"Latin America & Caribbean",2013,22,15167.5100944649,7204.63829860523,3111.39031031547,29529.5768751506
"Latin America & Caribbean",2014,22,15329.7485765942,7385.78014951175,3154.68399817648,30301.9348703437
"Latin America & Caribbean",2015,22,15240.9185161514,7447.27194370017,3153.1195686777,29876.9807238385
"Latin America & Caribbean",2016,22,15136.0008370941,7359.54190189681,3165.29569176077,30481.7716565083
"Latin America & Caribbean",2017,22,15259.4288828159,7377.93342164409,3200.04218273499,31638.1519150957
"Latin America & Caribbean",2018,22,15443.3935240713,7453.00516606762,3209.42962946369,32259.2208113001
"Latin America & Caribbean",2019,22,15444.2309349054,7496.89150192209,3112.29594285407,32788.3325108816
"Latin America & Caribbean",2020,22,14374.1887188399,6689.46192078945,2970.46284530888,26606.2949776853
"Latin America & Caribbean",2021,22,15214.318557051,7339.21045977691,2881.17657533473,30416.7934954027
"Middle East & North Africa",1990,10,8305.77369714639,31133.981906362,4119.8720703125,105893.626059104
"Middle East & North Africa",1991,10,8117.23139577735,29712.301937296,2650.08686860807,101048.696239403
"Middle East & North Africa",1992,10,8277.67930413548,28990.1944778106,3410.74050793459,99106.7916400779
"Middle East & North Africa",1993,10,8229.10974275381,27826.6673031549,4085.70141601563,95524.4569259644
"Middle East & North Africa",1994,11,8208.51076626995,27263.7144150676,3951.20549285021,97475.9808540881
"Middle East & North Africa",1995,12,8760.38940775771,26731.8910905965,4047.12848777267,99510.3506804258
"Middle East & North Africa",1996,12,9127.35160538941,26707.8334746593,3916.92577525948,99602.6174183566
"Middle East & North Africa",1997,12,9319.7688249811,27042.1914154316,4294.74609802983,100956.706466506
"Middle East & North Africa",1998,12,9623.23940797528,25332.009861636,4702.23486328125,95185.305822223
"Middle East & North Africa",1999,12,9850.24631861294,24498.2619722696,4715.12158203125,92368.8132654848
"Middle East & North Africa",2000,12,10337.2961404569,25835.1343429895,4503.24884871918,96835.8888266482
"Middle East & North Africa",2001,12,10414.7987743788,24757.3643476791,3980.93334903897,93106.2021350675
"Middle East & North Africa",2002,12,10575.4027361095,24092.8292749383,3395.85502779122,90661.7251515508
"Middle East & North Africa",2003,12,10720.4240845877,25063.31740071,3774.13239294371,93989.9598473636
"Middle East & North Africa",2004,12,11304.1958109264,26046.0735940033,4485.52545771034,98342.2366283482
"Middle East & North Africa",2005,12,11542.8928788264,25426.9668452022,4866.02847430128,96188.1280061936
"Middle East & North Africa",2006,12,11993.9431610637,24375.3015234346,4695.99472699102,92323.562777997
"Middle East & North Africa",2007,12,12478.3110546904,20973.4811937579,4750.92969249725,79468.9954686407
"Middle East & North Africa",2008,12,12691.0383593045,18242.3888135327,4965.37294950639,68909.610262662
"Middle East & North Africa",2009,12,12635.678069732,15232.3574651498,5250.11607535578,57094.786147925
"Middle East & North Africa",2010,12,12976.161012037,14848.05557468,5411.0664822782,54664.6117417572
"Middle East & North Africa",2011,12,13176.4369205934,15621.4656906297,5782.68959325891,57815.1702559273
"Middle East & North Africa",2012,12,13156.5652424015,16144.7257517273,5985.68324726688,59949.2445749147
"Middle East & North Africa",2013,13,13126.2757926561,16749.0841178651,3664.26803619943,62354.8232032173
"Middle East & North Africa",2014,13,13257.1420086608,17436.329054517,3854.26995628598,64334.0915520489
"Middle East & North Africa",2015,13,13320.7359552494,18504.6713895765,4073.62245479949,68076.635890898
"Middle East & North Africa",2016,13,13835.5577193383,19221.5610656344,4291.2973762258,71244.5858148165
"Middle East & North Africa",2017,13,13940.6921900819,19559.0635255852,4451.68384614482,71182.3707169574
"Middle East & North Africa",2018,13,13946.1313640266,19800.9408149679,4589.37832627416,71550.5543320291
"Middle East & North Africa",2019,13,13977.1613767725,20043.2018884187,4768.11300470727,71782.1538362575
"Middle East & North Africa",2020,3,53384.5003466806,15788.1175358496,39680.6658703571,67668.2866413265
"North America",1990,2,39863.4904362132,4163.89166029626,34562.8663465938,40451.498404837
"North America",1991,2,39228.075165492,4559.04158867587,33423.884517918,39871.3429640464
"North America",1992,2,39972.3937454741,5217.98359405402,33327.9474636636,40707.2906306151
"North America",1993,2,40540.1730477565,5259.95397323692,33840.8182551814,41279.5165015913
"North America",1994,2,41680.3363897968,5262.71469547872,34976.5928677945,42419.1953650407
"North America",1995,2,42299.3843855871,5298.43652574475,35549.0930280333,43042.2138221145
"North America",1996,2,43317.4916249836,5939.92739195613,35749.0452515392,44149.371128755
"North America",1997,2,44705.8925252675,6116.78639909222,36910.477860824,45560.9201445595
"North America",1998,2,46162.195999967,6377.65791439527,38031.624764122,47050.9950828359
"North America",1999,2,47852.548601072,6415.22499141994,39671.3846482747,48743.8828368156
"North America",2000,2,49303.6466266124,6244.60801346648,41338.6470179142,50169.8563622622
"North America",2001,2,49312.8384183289,6028.70639739645,41623.9503409049,50149.8286916684
"North America",2002,2,49731.7501699402,5736.71547567896,42416.4087525762,50529.349581757
"North America",2003,2,50641.6393301463,6155.12088657035,42793.0792526308,51497.7346884645
"North America",2004,2,52075.8345827744,6565.21548972053,43704.4139089537,52989.0306944184
"North America",2005,2,53382.2451330527,6824.18985642886,44680.7964889693,54331.6583361399
"North America",2006,2,54332.321290751,7008.05009541079,45396.8396580252,55307.7191487452
