"estimate","region","date","pop","gdp","lifeex","pov_intl"
"Min","Europe & Central Asia",2008,881811825,2219.30505470601,67.11,0
"Min","Europe & Central Asia",2009,885299042,2261.40891793663,67.958,0
"Min","Europe & Central Asia",2010,888673255,2359.99629068183,67.742,0
"Min","Europe & Central Asia",2011,890727299,2481.55232237312,68.148,0
"Min","Europe & Central Asia",2012,894206408,2610.14594826628,68.484,0
"Min","Europe & Central Asia",2013,898477792,2741.20299945432,68.74,0
"Min","Europe & Central Asia",2014,903040813,2858.21281715942,68.614,0
"Min","Europe & Central Asia",2015,907560479,2959.97072561653,68.782,0
"Min","Europe & Central Asia",2016,911808229,3091.22422270449,68.777,0
"Min","Europe & Central Asia",2017,915284792,3236.43934350302,68.916,0
"Min","Europe & Central Asia",2018,918207514,3405.11357767917,68.796,0
"Min","Europe & Central Asia",2019,920599754,3575.28195629146,69.002,0
"Min","Europe & Central Asia",2020,922520078,3651.94266028347,66.868,0
"Min","Latin America & Caribbean",1990,393044509,3409.79425137619,52.975,0.011892296185
"Min","Latin America & Caribbean",1991,400697265,3325.1094433087,53.391,0.018683321665
"Min","Latin America & Caribbean",1992,408281864,3262.64708008224,53.842,0.014995441579
"Min","Latin America & Caribbean",1993,415846710,3107.45591424119,54.35,0.013925388184
"Min","Latin America & Caribbean",1994,423405156,2684.87151399539,54.653,0.010535307517
"Min","Latin America & Caribbean",1995,430924030,2895.97962847482,55.547,0.011445685566
"Min","Latin America & Caribbean",1996,438351501,2960.28740865941,56.154,0.009098555934
"Min","Latin America & Caribbean",1997,445727440,2984.81941551357,56.516,0.006519586842
"Min","Latin America & Caribbean",1998,453044647,2994.80686449323,57.135,0.005576881883
"Min","Latin America & Caribbean",1999,460257200,3020.49959299664,57.961,0.006213297528
"Min","Latin America & Caribbean",2000,467344965,2991.64616245722,58.365,0.006202294922
"Min","Latin America & Caribbean",2001,474284993,2928.32559156621,58.489,0.00559206543
"Min","Latin America & Caribbean",2002,481071467,2907.94256200546,58.855,0.004615698242
"Min","Latin America & Caribbean",2003,487664429,2957.70169157461,59.507,0.003334216309
"Min","Latin America & Caribbean",2004,494146032,2870.11520779791,58.475,0.002846032715
"Min","Latin America & Caribbean",2005,500549213,2909.45734664433,60.415,0.002540917969
"Min","Latin America & Caribbean",2006,506806920,2911.58577058975,60.763,0.001991711426
"Min","Latin America & Caribbean",2007,512946835,2998.61125507317,61.103,0.001869665527
"Min","Latin America & Caribbean",2008,518957147,3028.6710012153,61.332,0.001747619629
"Min","Latin America & Caribbean",2009,524891569,3155.85667551796,61.741,0.001991711426
"Min","Latin America & Caribbean",2010,530914933,2943.54950304693,46.019,0.001691162385
"Min","Latin America & Caribbean",2011,537094357,3058.98691680167,61.623,0.001394185646
"Min","Latin America & Caribbean",2012,543267278,3027.45025351263,62.291,0.001693852961
"Min","Latin America & Caribbean",2013,549311259,3111.39031031547,62.605,0.00162557373
"Min","Latin America & Caribbean",2014,555278923,3154.68399817648,62.987,0.001503527832
"Min","Latin America & Caribbean",2015,530665237,3153.1195686777,63.237,0.001497659456
"Min","Latin America & Caribbean",2016,536320446,3165.29569176077,63.392,0.000922716657
"Min","Latin America & Caribbean",2017,542244262,3200.04218273499,63.854,0.000663459041
"Min","Latin America & Caribbean",2018,548490083,3209.42962946369,64.019,0.000558499547
"Min","Latin America & Caribbean",2019,554565970,3112.29594285407,64.255,0.001020720048
"Min","Latin America & Caribbean",2020,559765508,2970.46284530888,64.052,0.002067952682
